Screen Name,Age in Years,# of Followers,# of Followings,Follower/Following Ratio,URL,Verified,Number of Tweets,# of liked Tweets,# of lists,Bot: 4.0 Threshold
bosagora1,2,8271,51,162.18,1,0,798,1593,10,0
theidsn,5,9,98,0.09,0,0,137,462,0,0
francescoponzin,10,463,796,0.58,0,0,83906,74711,9,0
vinh_ruby,8,131,952,0.14,0,0,201,87,1,0
egor098123,6,22,30,0.73,0,0,12,125,0,0
luckypicked,1,278,326,0.85,0,0,864,506,0,0
papayasugared,0,1,11,0.09,0,0,4,5,0,1
capitalist_sd,3,5039,262,19.23,0,0,1577,3343,64,0
ogginunmarzo,12,139,574,0.24,0,0,5867,1766,1,0
susanjim42,2,80,346,0.23,1,0,23,41,1,0
shim_marley,1,14,97,0.14,1,0,150,78,0,0
mxcfoundation,3,13784,79,174.48,1,0,2057,2981,57,0
yellowdoodle1,1,3524,1271,2.77,1,0,34803,72591,40,0
100trillionusd,4,350719,206,1702.52,1,0,6527,22571,4664,0
stuarttodd28,2,224,144,1.56,0,0,5203,9952,1,0
jaymilo9,2,1258,1726,0.73,0,0,1048,8040,1,0
coopdville2000,12,909,4927,0.18,1,0,5264,4026,9,0
bacnguyen23,0,0,1,0.0,0,0,4,2,0,1
lascaldastr,5,287,103,2.79,1,0,654,197,4,0
talesandcrypto,0,0,6,0.0,0,0,4,0,0,0
stackthosesats,1,2229,1592,1.4,1,0,9680,30403,32,0
alexpdelisle,4,9,158,0.06,0,0,214,87,0,0
rubytrazona,5,1,0,0.0,0,0,0,0,0,1
maryclazzy,1,158,181,0.87,0,0,568,1573,0,0
moneymcdowell,12,373,742,0.5,1,0,21430,2732,1,0
btc,4,83266,73,1140.63,1,0,1907,1666,782,0
kaloyandrenski,10,52,40,1.3,1,0,241,209,0,0
bukakoterus,1,66,103,0.64,0,0,130,0,0,0
crypt0monkeys,1,7945,577,13.77,1,0,741,1596,35,0
patchlatics,12,275,639,0.43,0,0,9700,1559,6,0
klaasknot,10,4550,0,0.0,1,0,113,5,84,0
yourbtcc,7,82272,278,295.94,1,1,6225,2833,1103,0
punters_play,2,291,631,0.46,1,0,441,209,1,0
jeevzks,10,7,174,0.04,0,0,111,61,0,0
gomez_gbg,5,91,282,0.32,0,0,1567,3982,3,0
lwk7,12,138,2255,0.06,0,0,498,2211,2,0
dutchbull7,4,66,155,0.43,0,0,1032,2835,3,0
nftbridge,0,115,124,0.93,0,0,122,28,1,0
nondita56,1,610,4927,0.12,0,0,668,916,0,0
japariniost,0,577,176,3.28,1,0,454,2521,0,0
hodlneversodl,1,1001,633,1.58,0,0,6237,29695,15,0
ariana1341,10,1,492,0.0,0,0,155,216,0,1
mansioncrypto,1,1256,24,52.33,1,0,43,20,1,0
smartconiracter,4,847,126,6.72,1,0,631,63,0,1
jollyviee,4,112,1464,0.08,0,0,3455,2393,0,0
dngthng60342181,0,0,26,0.0,0,0,31,18,0,0
yoshio41,12,231,263,0.88,0,0,16687,9067,8,0
danheld,8,164510,848,194.0,1,0,53338,145830,2736,0
kamil_azat,1,11,11,1.0,0,0,507,2401,0,1
vethersunrise,1,54,0,0.0,1,0,281,0,2,1
pabloasxcobar,1,3839,3180,1.21,0,0,6659,8253,20,0
ripewithdecay,12,4,1536,0.0,0,0,14529,11720,1,0
brandon35641017,0,144,91,1.58,0,0,4845,4877,0,0
jamesmelville,12,173533,98514,1.76,1,1,34548,89702,926,0
mdb_5,0,10,7,1.43,0,0,142,223,0,0
ujjwalkumarro14,0,7,45,0.16,0,0,19,7,0,0
realspower,4,4767,1963,2.43,0,0,30221,80520,0,0
danielbekele,12,41891,954,43.91,0,1,1500,45,204,0
savix_org,1,2534,12,211.17,1,0,81,63,8,0
ciusradu,7,633,1695,0.37,1,0,2108,363,11,0
zunaira21880497,0,1,198,0.01,0,0,43,210,0,1
maryati_imut,1,61,133,0.46,0,0,132,110,0,0
undacappn,12,69,23,3.0,0,0,2620,1492,0,0
sanhe83,6,61,1372,0.04,0,0,60,109,0,0
themoneysponge,6,6461,300,21.54,1,0,23066,28513,59,0
kubalazila,10,11775,1667,7.06,0,0,49766,29607,6,0
luca41931741,0,14,65,0.22,0,0,47,902,0,0
rahulm27778335,1,1,75,0.01,0,0,189,97,0,0
minderoocambs,1,167,576,0.29,1,0,64,42,2,0
judithrose91,1,34317,213,161.11,1,0,2714,5950,67,0
hope_galleries,0,407,360,1.13,0,0,80785,18523,6,0
eppoleemburg,9,1887,1752,1.08,1,0,6781,21031,26,0
